"idecadastro","nomeParlamentar","urlFoto"
178957,"ABEL MESQUITA JR.","http://www.camara.gov.br/internet/deputado/bandep/178957.jpg"
141463,NA,NA
73764,NA,NA
161907,NA,NA
178864,"ADAIL CARNEIRO","http://www.camara.gov.br/internet/deputado/bandep/178864.jpg"
178914,"ADALBERTO CAVALCANTI","http://www.camara.gov.br/internet/deputado/bandep/178914.jpg"
178890,"ADELMO CARNEIRO LEÃO","http://www.camara.gov.br/internet/deputado/bandep/178890.jpg"
178968,"ADELSON BARRETO","http://www.camara.gov.br/internet/deputado/bandep/178968.jpg"
133374,"ADEMIR CAMILO","http://www.camara.gov.br/internet/deputado/bandep/133374.jpg"
178903,"ADILTON SACHETTI","http://www.camara.gov.br/internet/deputado/bandep/178903.jpg"
160577,NA,NA
141372,"AELTON FREITAS","http://www.camara.gov.br/internet/deputado/bandep/141372.jpg"
160508,"AFONSO FLORENCE","http://www.camara.gov.br/internet/deputado/bandep/160508.jpg"
136811,"AFONSO HAMM","http://www.camara.gov.br/internet/deputado/bandep/136811.jpg"
178835,"AFONSO MOTTA","http://www.camara.gov.br/internet/deputado/bandep/178835.jpg"
160527,"AGUINALDO RIBEIRO","http://www.camara.gov.br/internet/deputado/bandep/160527.jpg"
173269,NA,NA
178836,"ALAN RICK","http://www.camara.gov.br/internet/deputado/bandep/178836.jpg"
160582,"ALBERTO FILHO","http://www.camara.gov.br/internet/deputado/bandep/160582.jpg"
73579,"ALBERTO FRAGA","http://www.camara.gov.br/internet/deputado/bandep/73579.jpg"
160559,"ALCEU MOREIRA","http://www.camara.gov.br/internet/deputado/bandep/160559.jpg"
160511,"ALESSANDRO MOLON","http://www.camara.gov.br/internet/deputado/bandep/160511.jpg"
73458,"ALEX CANZIANI","http://www.camara.gov.br/internet/deputado/bandep/73458.jpg"
178972,"ALEX MANENTE","http://www.camara.gov.br/internet/deputado/bandep/178972.jpg"
178875,"ALEXANDRE BALDY","http://www.camara.gov.br/internet/deputado/bandep/178875.jpg"
160545,"ALEXANDRE LEITE","http://www.camara.gov.br/internet/deputado/bandep/160545.jpg"
160579,NA,NA
74830,NA,NA
178833,"ALEXANDRE SERFIOTIS","http://www.camara.gov.br/internet/deputado/bandep/178833.jpg"
141374,NA,NA
169712,NA,NA
178936,"ALEXANDRE VALLE","http://www.camara.gov.br/internet/deputado/bandep/178936.jpg"
141454,"ALFREDO KAEFER","http://www.camara.gov.br/internet/deputado/bandep/141454.jpg"
178846,"ALFREDO NASCIMENTO","http://www.camara.gov.br/internet/deputado/bandep/178846.jpg"
116663,NA,NA
74057,"ALICE PORTUGAL","http://www.camara.gov.br/internet/deputado/bandep/74057.jpg"
178927,"ALIEL MACHADO","http://www.camara.gov.br/internet/deputado/bandep/178927.jpg"
141375,NA,NA
160626,NA,NA
178937,"ALTINEU CÔRTES","http://www.camara.gov.br/internet/deputado/bandep/178937.jpg"
178881,"ALUISIO MENDES","http://www.camara.gov.br/internet/deputado/bandep/178881.jpg"
160603,NA,NA
174861,NA,NA
178973,"ANA PERUGINI","http://www.camara.gov.br/internet/deputado/bandep/178973.jpg"
160551,NA,NA
178831,"ANDRÉ ABDON","http://www.camara.gov.br/internet/deputado/bandep/178831.jpg"
74471,"ANDRÉ DE PAULA","http://www.camara.gov.br/internet/deputado/bandep/74471.jpg"
133439,"ANDRÉ FIGUEIREDO","http://www.camara.gov.br/internet/deputado/bandep/133439.jpg"
178882,"ANDRÉ FUFUCA","http://www.camara.gov.br/internet/deputado/bandep/178882.jpg"
160543,"ANDRE MOURA","http://www.camara.gov.br/internet/deputado/bandep/160543.jpg"
74377,NA,NA
141379,NA,NA
178974,"ANDRES SANCHEZ","http://www.camara.gov.br/internet/deputado/bandep/178974.jpg"
192120,NA,NA
178837,"ANGELIM","http://www.camara.gov.br/internet/deputado/bandep/178837.jpg"
160638,NA,NA
141381,NA,NA
74212,"ANÍBAL GOMES","http://www.camara.gov.br/internet/deputado/bandep/74212.jpg"
73937,NA,NA
160539,NA,NA
123756,NA,NA
141387,NA,NA
74213,NA,NA
160553,"ANTONIO BRITO","http://www.camara.gov.br/internet/deputado/bandep/160553.jpg"
141383,"ANTONIO BULHÕES","http://www.camara.gov.br/internet/deputado/bandep/141383.jpg"
73584,"ANTONIO CARLOS MENDES THAME","http://www.camara.gov.br/internet/deputado/bandep/73584.jpg"
160530,NA,NA
178950,"ANTÔNIO JÁCOME","http://www.camara.gov.br/internet/deputado/bandep/178950.jpg"
74103,"ARIOSTO HOLANDA","http://www.camara.gov.br/internet/deputado/bandep/74103.jpg"
73433,"ARLINDO CHINAGLIA","http://www.camara.gov.br/internet/deputado/bandep/73433.jpg"
160546,NA,NA
73434,"ARNALDO FARIA DE SÁ","http://www.camara.gov.br/internet/deputado/bandep/73434.jpg"
141391,NA,NA
160602,"ARNALDO JORDY","http://www.camara.gov.br/internet/deputado/bandep/160602.jpg"
74291,NA,NA
74833,"AROLDE DE OLIVEIRA","http://www.camara.gov.br/internet/deputado/bandep/74833.jpg"
160541,"ARTHUR LIRA","http://www.camara.gov.br/internet/deputado/bandep/160541.jpg"
160600,"ARTHUR OLIVEIRA MAIA","http://www.camara.gov.br/internet/deputado/bandep/160600.jpg"
178847,"ARTHUR VIRGÍLIO BISNETO","http://www.camara.gov.br/internet/deputado/bandep/178847.jpg"
160678,NA,NA
