ideCadastro,codOrcamento,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email,comissoes/titular,comissoes/suplente
178980,3283,Titular,361,5830382,ANTONIO GOULART DOS REIS,GOULART,http://www.camara.gov.br/internet/deputado/bandep/178980.jpg,masculino,SP,PSD,533,4,3215-5533,dep.goulart@camara.gov.br,,
141335,2152,Titular,19,5830714,JOSÉ ROBERTO OLIVEIRA FARO,BETO FARO,http://www.camara.gov.br/internet/deputado/bandep/141335.jpg,masculino,PA,PT,723,4,3215-5723,dep.betofaro@camara.gov.br,,
141531,2488,Titular,268,5830453,RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,http://www.camara.gov.br/internet/deputado/bandep/141531.jpg,masculino,MG,PSDB,701,4,3215-5701,dep.rodrigodecastro@camara.gov.br,,
141478,2551,Titular,412,5830785,LAERTE RODRIGUES DE BESSA,LAERTE BESSA,http://www.camara.gov.br/internet/deputado/bandep/141478.jpg,masculino,DF,PR,340,4,3215-5340,dep.laertebessa@camara.gov.br,,
178826,3712,Titular,368,5830405,SERGIO OLIMPIO GOMES,MAJOR OLIMPIO,http://www.camara.gov.br/internet/deputado/bandep/178826.jpg,masculino,SP,SD,279,3,3215-5279,dep.majorolimpio@camara.gov.br,,
160510,2762,Titular,251,5830737,LUIS HENRIQUE DE OLIVEIRA RESENDE,LUIS TIBÉ,http://www.camara.gov.br/internet/deputado/bandep/160510.jpg,masculino,MG,PTdoB,632,4,3215-5632,dep.luistibe@camara.gov.br,,
178927,3041,Titular,441,5830336,ALIEL MACHADO BARK,ALIEL MACHADO,http://www.camara.gov.br/internet/deputado/bandep/178927.jpg,masculino,PR,REDE,480,3,3215-5480,dep.alielmachado@camara.gov.br,,
73531,3228,Titular,359,5830668,IVAN VALENTE,IVAN VALENTE,http://www.camara.gov.br/internet/deputado/bandep/73531.jpg,masculino,SP,PSOL,716,4,3215-5716,dep.ivanvalente@camara.gov.br,,
74812,3672,Titular,428,5830691,PEDRO PINHEIRO CHAVES,PEDRO CHAVES,http://www.camara.gov.br/internet/deputado/bandep/74812.jpg,masculino,GO,PMDB,406,4,3215-5406,dep.pedrochaves@camara.gov.br,,
159237,2705,Titular,111,5830359,FRANCISCO DE ASSIS CARVALHO GONÇALVES,ASSIS CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/159237.jpg,masculino,PI,PT,909,4,3215-5909,dep.assiscarvalho@camara.gov.br,,
178915,3053,Titular,141,5830545,HEBERTE LAMARCK GOMES DA SILVA,BETINHO GOMES,http://www.camara.gov.br/internet/deputado/bandep/178915.jpg,masculino,PE,PSDB,269,3,3215-5269,dep.betinhogomes@camara.gov.br,,
178993,3068,Titular,60,5830622,CARLOS HENRIQUE AMORIM,CARLOS HENRIQUE GAGUIM,http://www.camara.gov.br/internet/deputado/bandep/178993.jpg,masculino,TO,PODE,222,4,3215-5222,dep.carloshenriquegaguim@camara.gov.br,,
178802,3707,Titular,318,5830522,LUIZ CARLOS RAMOS,LUIZ CARLOS RAMOS,http://www.camara.gov.br/internet/deputado/bandep/178802.jpg,masculino,RJ,PODE,636,4,3215-5636,dep.luizcarlosramos@camara.gov.br,,
114941,3695,Titular,62,5830528,JOSINIANE BRAGA NUNES,JOSI NUNES,http://www.camara.gov.br/internet/deputado/bandep/114941.jpg,feminino,TO,PMDB,950,4,3215-5950,dep.josinunes@camara.gov.br,,
141454,2399,Titular,451,5830645,JACOB ALFREDO STOFFELS KAEFER,ALFREDO KAEFER,http://www.camara.gov.br/internet/deputado/bandep/141454.jpg,masculino,PR,PSL,818,4,3215-5818,dep.alfredokaefer@camara.gov.br,,
