"txNomeParlamentar","idecadastro","sgUF","ano","mes","total","cota_mensal","coef"
"ABEL MESQUITA JR.",178957,"RR",2015,1,1926.98,45612.53,0.0422467247486601
"ABEL MESQUITA JR.",178957,"RR",2015,2,17040.38,45612.53,0.3735898885679
"ABEL MESQUITA JR.",178957,"RR",2015,3,15124.36,45612.53,0.331583448670793
"ABEL MESQUITA JR.",178957,"RR",2015,4,6185.75,45612.53,0.135615147855206
"ABEL MESQUITA JR.",178957,"RR",2015,5,18258.23,45612.53,0.400289788792685
"ABEL MESQUITA JR.",178957,"RR",2015,6,2542.47,45612.53,0.0557406046101806
"ABEL MESQUITA JR.",178957,"RR",2015,7,5598.69,45612.53,0.122744561636901
"ABEL MESQUITA JR.",178957,"RR",2015,8,75460.2,45612.53,1.65437435722158
"ABEL MESQUITA JR.",178957,"RR",2015,9,22447.45,45612.53,0.492133411586685
"ABEL MESQUITA JR.",178957,"RR",2015,10,79102.48,45612.53,1.73422697666628
"ABEL MESQUITA JR.",178957,"RR",2015,11,157418.4,45612.53,3.45120956894958
"ABEL MESQUITA JR.",178957,"RR",2015,12,75645.11,45612.53,1.65842828713952
"ABEL MESQUITA JR.",178957,"RR",2016,1,26611.71,45612.53,0.583429816324593
"ABEL MESQUITA JR.",178957,"RR",2016,2,43975.09,45612.53,0.964101092397199
"ABEL MESQUITA JR.",178957,"RR",2016,3,72054.91,45612.53,1.5797174592157
"ABEL MESQUITA JR.",178957,"RR",2016,4,52129.29,45612.53,1.14287214500051
"ABEL MESQUITA JR.",178957,"RR",2016,5,79573.83,45612.53,1.74456075994908
"ABEL MESQUITA JR.",178957,"RR",2016,6,37899.97,45612.53,0.830911374571856
"ABEL MESQUITA JR.",178957,"RR",2016,7,32775.14,45612.53,0.718555624956563
"ABEL MESQUITA JR.",178957,"RR",2016,8,46126.65,45612.53,1.01127146422266
"ABEL MESQUITA JR.",178957,"RR",2016,9,12770.04,45612.53,0.279967807091604
"ABEL MESQUITA JR.",178957,"RR",2016,10,92266.12,45612.53,2.02282399156548
"ABEL MESQUITA JR.",178957,"RR",2016,11,79994.72,45612.53,1.75378826826751
"ABEL MESQUITA JR.",178957,"RR",2016,12,45615.2,45612.53,1.00005853654687
"ABEL MESQUITA JR.",178957,"RR",2017,1,31515.39,45612.53,0.690937117498196
"ABEL MESQUITA JR.",178957,"RR",2017,2,25055.51,45612.53,0.549311998260127
"ABEL MESQUITA JR.",178957,"RR",2017,3,52173.88,45612.53,1.14384972725696
"ABEL MESQUITA JR.",178957,"RR",2017,4,38639.87,45612.53,0.847132794431706
"ABEL MESQUITA JR.",178957,"RR",2017,5,110.13,45612.53,0.00241446812970033
"ABELARDO CAMARINHA",141463,"SP",2015,1,32810.81,37043.53,0.885736591518141
"ABELARDO LUPION",73764,"PR",2015,1,32276.89,38871.86,0.830340765787899
"ACELINO POPÓ",161907,"BA",2015,1,34040.37,39010.85,0.872587241754538
"ADAIL CARNEIRO",178864,"CE",2015,2,22773.07,42451.77,0.536445712393146
"ADAIL CARNEIRO",178864,"CE",2015,3,34409.59,42451.77,0.810557251205309
"ADAIL CARNEIRO",178864,"CE",2015,4,63867.66,42451.77,1.50447578510861
"ADAIL CARNEIRO",178864,"CE",2015,5,34864.74,42451.77,0.821278830069983
"ADAIL CARNEIRO",178864,"CE",2015,6,70606.19,42451.77,1.66320956699803
"ADAIL CARNEIRO",178864,"CE",2015,7,34640.05,42451.77,0.815986000112598
"ADAIL CARNEIRO",178864,"CE",2015,8,44093.36,42451.77,1.03866953015151
"ADAIL CARNEIRO",178864,"CE",2015,9,50669.62,42451.77,1.19358085658148
"ADAIL CARNEIRO",178864,"CE",2015,10,43470.98,42451.77,1.02400865735398
