"idecadastro","txNomeParlamentar","Alimentação","Combustível","Locação de veículos","Passagens aéreas","Escritório","Divulgação de atividade parlamentar"
3151,"JAIRO ATAÍDE",268.6,473.36,0,2343.68,158.88,9000
4929,"JOSEPH BANDEIRA",0,0,0,12228.75,0,0
4930,"SILVIO COSTA",0,72397.37,149080.4,117521.91,83416.89,22000
4931,"IZALCI LUCAS",0,25012.19,79750,0,63251.76,86470
62881,"DANILO FORTE",9114.97,32692.85,94800,130592.29,33840.2,131024
64960,"MARIA HELENA",7924.72,61530.66,56800,185589.51,28981.22,206819.97
66179,"NORMA AYUB",0,3279.33,14612.81,17764.36,13718.14,0
66828,"FAUSTO PINATO",3587.72,54086.35,130800,157629.02,11765.35,35522
67138,"IRACEMA PORTELLA",0,27808.2,81800,141473.99,3158.4,72550
67312,"JÚLIA MARINHO",7563.76,32240.02,75532.4,122349.58,7564.1,197926
68731,"HENRIQUE OLIVEIRA",0,0,0,0,0,0
69871,"BACELAR",2536.37,23558.95,199650.2,158971.64,190664.18,288590
72442,"FELIPE CARRERAS",0,0,0,3019.27,0,0
72912,"CELSO PANSERA",4808.43,24047.53,0,85297,35678.82,36118.5
73424,"SIMÃO SESSIM",23534.17,35909.47,92100,77159.87,53171.52,11951.7
73433,"ARLINDO CHINAGLIA",2655.26,11163.19,65320,329190.21,117102.23,333466
73434,"ARNALDO FARIA DE SÁ",0,560,0,285637.33,398.98,408441.97
73437,"BETO MANSUR",138.5,0,0,139924.55,212837.68,183102.9
73441,"CELSO RUSSOMANNO",7265.11,46570.54,7385.15,104035.28,4695.81,4500
73447,"EDINHO ARAÚJO",2411.96,6439.6,0,43037.71,17369.5,24687
73458,"ALEX CANZIANI",734.09,63054.49,4100,435821.77,125789.23,128914.71
73459,"DR. ROSINHA",49.9,982.96,0,4182.64,0,0
73463,"OSMAR SERRAGLIO",3333.47,58723.23,126740.75,89107.42,35738.22,92850
73464,"OLIVEIRA FILHO",1268.57,627.97,0,1729,6911,24050
73466,"RUBENS BUENO",23573.2,25851.05,67564,172015.93,4192,49303.24
73474,"LUCI CHOINACKI",0,2607.2,0,6887.24,0,25000
73478,"BETO ALBUQUERQUE",21,933.1,0,5909.3,8817.63,340
73481,"FERNANDO MARRONI",2247.7,29064.39,17121.67,99655.58,0,119276
73482,"HENRIQUE FONTANA",3666.98,45652.54,21998.15,197411.25,77791.07,48805.01
73483,"LUIS CARLOS HEINZE",5224.17,56108.42,21900,154162,15338.15,24541
73486,"POMPEO DE MATTOS",20966,54130.45,87555.8,89603.91,49803.4,230922.25
73507,"ROSE DE FREITAS",0,150,0,11527.58,2660.62,0
73531,"IVAN VALENTE",0,41684.32,0,190263.93,158902.18,53478.28
73535,"JORGE TADEU MUDALEN",5758.86,61337.55,0,166785.37,42255.07,33500
73536,"JOSÉ ANÍBAL",0,1746.53,0,6621.53,10397.33,9720
73553,"NELSON MARQUEZELLI",0,82598.86,0,70302.64,4434.06,335059
73559,"SALVADOR ZIMBALDI",0,4500,0,17918.11,672.35,10800
73560,"SILVIO TORRES",10313.25,26140.68,0,112973.18,52841.28,130166.76
73568,"CELSO JACOB",13754.79,39363.16,38586.8,72224.59,55772.5,235213.7
73579,"ALBERTO FRAGA",3841,25853.02,91200,15897.12,30865.02,666223.95
73584,"ANTONIO CARLOS MENDES THAME",0,34622.98,41885.5,190149.14,169159.75,85599
73586,"JÚLIO DELGADO",1430.16,32756.19,95070,124792.82,51079.78,142361.4
73588,"MAURO BENEVIDES",0,2993,0,4227.5,0,0
73653,"WELLINGTON FAGUNDES",0,0,0,8846.98,0,20000
73655,"AUGUSTO CARVALHO",247.55,35148.35,595.69,5645.75,1268.39,286363.58
73666,"JOVAIR ARANTES",0,72426.96,87280,28769.21,174835.46,34000
73674,"ROBERTO BALESTRA",4435,50507.01,162483,19612.63,48866.21,208120
73676,"SANDRO MABEL",0,2516.3,0,3724.75,384,0
73677,"VILMAR ROCHA",39.48,2836.73,9146.66,0,191.22,10000
73682,"JOÃO DADO",0,0,0,0,0,0
73692,"OSMAR TERRA",4905.68,22110.49,2976.04,167897.95,69735.62,79416.5
73701,"BENEDITA DA SILVA",2638.19,63644.1,0,207504.13,233961.89,254553.6
73714,"JOSÉ REINALDO",0,12603.28,25301.2,91573.11,319,231400
73720,"CESAR SOUZA",3898.54,17394.91,40000,89242.29,15785.72,45500
73764,"ABELARDO LUPION",0,0,0,2070.5,0,29964
73768,"DILCEU SPERAFICO",3501.97,47212.95,0,134558.07,49836.97,158415
73772,"HERMES PARCIANELLO",0,38335.08,11943.52,22103.19,39584.42,141320
73777,"LUCIANO PIZZATTO",0,0,0,0,0,0
73778,"LUIZ CARLOS HAULY",131.56,36771.69,0,189972.59,105161.46,122140
73781,"NELSON MEURER",661.53,77929.52,140000,89841.39,46637.88,106000
73782,"ODÍLIO BALBINOTTI",0,4397.6,10000,2979.72,1194.87,0
73786,"REINHOLD STEPHANES",122.66,6438.31,193.28,15801.58,23951.25,100
73788,"RICARDO BARROS",0,19289.68,0,113745.76,34157.04,52450
73793,"EDINHO BEZ",11056.58,65757.04,9866,103296.61,180.35,181843.12
73805,"ROBERTO FREIRE",31029.06,11858.15,49081.16,81814.57,77200.48,30500
73808,"SÉRGIO BRITO",5389.56,23456.18,15925.5,136013.06,41717.22,57280
73874,"JOÃO PIZZOLATTI",0,0,0,10329.86,0,0
73883,"PAULO BORNHAUSEN",214.4,1900.66,8793.72,3817.01,2181.3,0
73891,"DARCÍSIO PERONDI",11108.75,54530.3,92768.7,93883.48,4334.24,38928
73892,"ELISEU PADILHA",0,0,0,-1492.83,0,0
73893,"ENIO BACCI",0,2190.77,0,1093.4,0,29600
73924,"DAVI ALCOLUMBRE",0,0,9990,8251.14,2860,0
73926,"JANETE CAPIBERIBE",0,26085.78,119366,77614.59,31975.65,156660
73930,"WLADIMIR COSTA",0,0,38500,230185.35,85500,150770
73931,"ZÉ GERALDO",0,35035.15,20254.16,180382.65,40000,310000
73937,"ANSELMO DE JESUS",61.51,4500,9866.2,0,4632.04,0
73940,"HENRIQUE AFONSO",0,4500,0,7773.04,3057.3,22000
73943,"PERPÉTUA ALMEIDA",0,2533.79,13488.81,15908.28,2685.4,200
73945,"EDUARDO GOMES",0,1809.35,3010,11885.02,0,9900
73982,"LUCIANO CASTRO",163.24,4484.81,0,14008.23,2247.58,0
73992,"YEDA CRUSIUS",0,3255.55,9700,20201.66,17147.25,1211.7
74010,"VALDIR COLATTO",6030.95,54740.84,8494,118174.54,79750.39,108842.43
74017,"PAULO FEIJÓ",0,31618.03,72000,118430.64,53277.4,159500
74037,"FÁTIMA BEZERRA",0,1611.62,0,7794.89,2840,788
74039,"SANDRA ROSADO",726.34,4500,0,3130.55,960,26000
74040,"BENJAMIN MARANHÃO",4262.69,102359.66,179766.4,139536.13,71162.46,439868.33
74041,"LUIZ COUTO",0,33676.39,37330,148422.56,49919.39,43030
74043,"WELLINGTON ROBERTO",3480.2,36605.13,19000,133339.07,6141.9,376500
74047,"PAULO RUBEM SANTIAGO",0,0,0,9843.94,0,28139.72
74048,"RAUL JUNGMANN",7795.94,36480.17,12800,132123.95,47994.49,133400
74049,"JOÃO LYRA",0,0,0,4669.7,0,0
74050,"MAURÍCIO QUINTELLA LESSA",1423.19,9000,110000,150263.36,0,141500
74052,"BOSCO COSTA",1732.72,15260.54,14299.99,15269.05,0,31580
74056,"MENDONÇA PRADO",0,1714.42,0,5938.94,255.66,29478
