"id","nome","total_presenca","total_sessoes"
4930,"Silvio Costa",134,161
4931,"Izalci",141,161
62881,"Danilo Forte",129,161
64960,"Maria Helena",131,161
66179,"Norma Ayub",5,7
66828,"Fausto Pinato",139,161
67138,"Iracema Portella",102,161
67312,"Júlia Marinho",138,161
69871,"Bacelar",150,161
72912,"Celso Pansera",107,161
73424,"Simão Sessim",105,161
73433,"Arlindo Chinaglia",132,161
73434,"Arnaldo Faria de Sá",146,161
73437,"Beto Mansur",116,161
73441,"Celso Russomanno",127,161
73447,"Edinho Araújo",75,154
73458,"Alex Canziani",102,161
73463,"Osmar Serraglio",133,161
73466,"Rubens Bueno",146,161
73481,"Fernando Marroni",70,94
73482,"Henrique Fontana",141,161
73483,"Luis Carlos Heinze",151,161
73486,"Pompeo de Mattos",128,161
73531,"Ivan Valente",157,161
73535,"Jorge Tadeu Mudalen",135,161
73553,"Nelson Marquezelli",134,161
73560,"Silvio Torres",147,161
73568,"Celso Jacob",145,161
73579,"Alberto Fraga",155,161
73584,"Antonio Carlos Mendes Thame",94,161
73586,"Júlio Delgado",136,161
73588,"Mauro Benevides",14,60
73655,"Augusto Carvalho",155,161
73666,"Jovair Arantes",101,161
73674,"Roberto Balestra",138,161
73692,"Osmar Terra",88,154
73701,"Benedita da Silva",121,161
73714,"José Reinaldo",131,161
73720,"Cesar Souza",69,161
73768,"Dilceu Sperafico",142,161
73772,"Hermes Parcianello",106,161
73778,"Luiz Carlos Hauly",146,161
73781,"Nelson Meurer",145,161
73786,"Reinhold Stephanes",16,67
73788,"Ricardo Barros",93,154
73793,"Edinho Bez",130,161
73805,"Roberto Freire",92,154
73808,"Sérgio Brito",116,161
73831,"José Augusto Curvo",37,60
73891,"Darcísio Perondi",148,161
73926,"Janete Capiberibe",80,161
73930,"Wladimir Costa",43,161
73931,"Zé Geraldo",143,161
73992,"Yeda Crusius",7,7
74010,"Valdir Colatto",140,161
74017,"Paulo Feijó",139,161
74040,"Benjamin Maranhão",135,161
74041,"Luiz Couto",159,161
74043,"Wellington Roberto",114,161
74048,"Raul Jungmann",93,154
74050,"Maurício Quintella Lessa",85,154
74052,"Bosco Costa",13,60
74057,"Alice Portugal",147,161
74060,"Daniel Almeida",143,161
74075,"Elcione Barbalho",95,161
74079,"José Priante",105,161
74090,"Átila Lins",119,161
74095,"Pauderney Avelino",137,161
74103,"Ariosto Holanda",39,161
74140,"José Carlos Araújo",132,161
74141,"Josias Gomes",1,94
74156,"Leonardo Monteiro",136,161
74158,"Mário Heringer",131,161
74160,"Patrus Ananias",39,67
74161,"Reginaldo Lopes",127,161
74163,"Carlos Manato",160,161
74171,"Chico Alencar",154,161
74172,"Deley",135,161
74173,"Eduardo Cunha",115,154
74177,"Marinha Raupp",101,161
74210,"Sarney Filho",71,154
74212,"Aníbal Gomes",77,161
74213,"Antonio Balhmann",35,94
74216,"Raimundo Gomes de Matos",147,161
74235,"Marcus Vicente",124,161
74253,"Julio Lopes",135,161
74254,"Leonardo Picciani",90,154
74262,"Carlos Sampaio",94,161
74270,"Gilberto Nascimento",115,161
74273,"Jefferson Campos",127,161
74275,"José Mentor",143,161
74277,"Lobbe Neto",149,161
74283,"Vicentinho",150,161
74291,"Arnon Bezerra",117,154
74299,"Leônidas Cristino",145,161
74308,"Vicente Arruda",70,154
74317,"Júlio Cesar",150,161
74319,"Paes Landim",126,161
74351,"Josué Bengtson",128,161
74352,"Nilson Pinto",157,161
74356,"Silas Câmara",117,161
74359,"Nilton Capixaba",140,161
74366,"João Campos",126,161
74371,"Rubens Otoni",113,161
74372,"Sandes Júnior",116,154
74374,"Geraldo Resende",143,161
74376,"Vander Loubet",127,161
74378,"Assis do Couto",142,161
74383,"Giacobo",75,161
74385,"Takayama",79,161
74388,"Jorge Boeira",85,161
74395,"José Otávio Germano",90,154
74398,"Maria do Rosário",126,161
74399,"Onyx Lorenzoni",94,161
74400,"Paulo Pimenta",124,161
74419,"Gonzaga Patriota",123,161
74428,"Mendonça Filho",103,154
74439,"Wolney Queiroz",134,161
74445,"João Castelo",111,154
74449,"Pedro Fernandes",147,161
74457,"Moroni Torgan",124,154
74459,"Átila Lira",146,161
74460,"Marcelo Castro",111,161
74467,"Damião Feliciano",119,161
74470,"Marcondes Gadelha",15,154
74471,"André de Paula",23,67
74474,"Carlos Eduardo Cadoca",146,161
74535,"Benito Gama",132,161
74537,"Claudio Cajado",98,161
74553,"José Carlos Aleluia",127,161
74554,"José Rocha",120,161
74558,"Givaldo Carimbão",120,161
74570,"Jutahy Junior",130,161
74571,"Nelson Pellegrino",24,161
74574,"Paulo Magalhães",132,161
74585,"Lincoln Portela",147,161
74650,"Bonifácio de Andrada",111,161
74651,"Carlos Melles",124,161
74655,"Eduardo Barbosa",147,161
74665,"Jaime Martins",122,161
74688,"Luiz Sérgio",138,161
74693,"Rodrigo Maia",136,161
74749,"Mauro Lopes",115,161
74751,"Nilmário Miranda",6,154
74752,"Odelmo Leão",127,154
74762,"Saraiva Felipe",140,161
74765,"Silas Brasileiro",86,154
74784,"Luiza Erundina",126,161
74787,"Milton Monti",136,161
74812,"Pedro Chaves",150,161
74833,"Arolde de Oliveira",14,161
74847,"Jair Bolsonaro",146,161
74848,"Jandira Feghali",135,161
74856,"Laura Carneiro",60,161
74862,"Miro Teixeira",155,161
76287,"Marcelo Matos",143,161
80920,"Penna",30,94
81232,"Irajá Abreu",99,161
81366,"Luana Costa",5,67
88950,"Rodrigo Garcia",10,94
91208,"Robinson Almeida",6,7
92346,"Eduardo Bolsonaro",150,161
92699,"Fernando Monteiro",133,161
92776,"Stefano Aguiar",121,161
93083,"Cacá Leão",133,161
93472,"Cristiane Brasil",87,154
94931,"Lucio Vieira Lima",121,161
97707,"Heráclito Fortes",134,161
99654,"Erivelton Santana",138,161
101309,"Davidson Magalhães",124,161
105112,"Cabuçu Borges",136,161
112437,"João Marcelo Souza",137,161
113247,"Valmir Prascidelli",142,161
114941,"Josi Nunes",148,161
118594,"Marcelo Squassoni",137,161
122158,"Pedro Paulo",29,161
122466,"Ronaldo Martins",148,161
124411,"Mauro Pereira",151,161
129037,"Gabriel Guimarães",135,161
129618,"Gorete Pereira",113,161
131943,"Jarbas Vasconcelos",142,161
131966,"José Fogaça",139,161
132056,"Paulo Maluf",63,161
132504,"Enio Verri",153,161
133373,"Marco Maia",134,161
133374,"Ademir Camilo",151,161
133439,"André Figueiredo",91,161
134812,"Edmilson Rodrigues",150,161
136811,"Afonso Hamm",144,161
137070,"Vicentinho Júnior",122,161
137853,"Wadson Ribeiro",105,154
141335,"Beto Faro",153,161
141372,"Aelton Freitas",131,161
141383,"Antonio Bulhões",142,161
