"txNomeParlamentar","idecadastro","sgUF","ano","mes","total","cota_mensal","coef"
"ADALBERTO CAVALCANTI",178914,"PE",2015,2,37091.49,41676.8,0.889979317030098
"ADALBERTO CAVALCANTI",178914,"PE",2015,3,21622.26,41676.8,0.518808065878378
"ADALBERTO CAVALCANTI",178914,"PE",2015,4,33078.02,41676.8,0.79367945715602
"ADALBERTO CAVALCANTI",178914,"PE",2015,5,50390.31,41676.8,1.20907339335074
"ADALBERTO CAVALCANTI",178914,"PE",2015,6,64080.7,41676.8,1.5375628647113
"ADALBERTO CAVALCANTI",178914,"PE",2015,7,39628.88,41676.8,0.95086187039312
"ADALBERTO CAVALCANTI",178914,"PE",2015,8,52865.65,41676.8,1.26846710879914
"ADALBERTO CAVALCANTI",178914,"PE",2015,9,39445.54,41676.8,0.946462780251843
"ADALBERTO CAVALCANTI",178914,"PE",2015,10,56155.14,41676.8,1.34739567337224
"ADALBERTO CAVALCANTI",178914,"PE",2015,11,35716.39,41676.8,0.856984941262285
"ADALBERTO CAVALCANTI",178914,"PE",2015,12,15241.39,41676.8,0.365704420684889
"ADALBERTO CAVALCANTI",178914,"PE",2016,1,45635.19,41676.8,1.09497826128686
"ADALBERTO CAVALCANTI",178914,"PE",2016,2,44668.15,41676.8,1.07177494433354
"ADALBERTO CAVALCANTI",178914,"PE",2016,3,45499.82,41676.8,1.09173017122236
"ADALBERTO CAVALCANTI",178914,"PE",2016,4,54672.94,41676.8,1.31183152257371
"ADALBERTO CAVALCANTI",178914,"PE",2016,5,38975.3,41676.8,0.935179764281327
"ADALBERTO CAVALCANTI",178914,"PE",2016,6,38535.46,41676.8,0.924626170915233
"ADALBERTO CAVALCANTI",178914,"PE",2016,7,42960.13,41676.8,1.03079243128071
"ADALBERTO CAVALCANTI",178914,"PE",2016,8,36264.94,41676.8,0.870146940264128
"ADALBERTO CAVALCANTI",178914,"PE",2016,9,28619.78,41676.8,0.686707712684275
"ADALBERTO CAVALCANTI",178914,"PE",2016,10,47941.09,41676.8,1.15030640548219
"ADALBERTO CAVALCANTI",178914,"PE",2016,11,49206.37,41676.8,1.18066574209152
"ADALBERTO CAVALCANTI",178914,"PE",2016,12,30044.41,41676.8,0.720890519425676
"ADALBERTO CAVALCANTI",178914,"PE",2017,1,43499.62,41676.8,1.04373704315111
"ADALBERTO CAVALCANTI",178914,"PE",2017,2,49742.18,41676.8,1.19352205543612
"ADALBERTO CAVALCANTI",178914,"PE",2017,3,45573.64,41676.8,1.09350142045455
"ADALBERTO CAVALCANTI",178914,"PE",2017,4,38218.26,41676.8,0.917015221898034
"ADALBERTO CAVALCANTI",178914,"PE",2017,5,13400.23,41676.8,0.321527324554668
"ANTÔNIO JÁCOME",178950,"RN",2015,2,13361,42731.99,0.312669735249868
"ANTÔNIO JÁCOME",178950,"RN",2015,3,62322.09,42731.99,1.4584410882807
"ANTÔNIO JÁCOME",178950,"RN",2015,4,33669.3,42731.99,0.787917904127564
"ANTÔNIO JÁCOME",178950,"RN",2015,5,46540.64,42731.99,1.08912877682504
"ANTÔNIO JÁCOME",178950,"RN",2015,6,34703.26,42731.99,0.812114296572661
"ANTÔNIO JÁCOME",178950,"RN",2015,7,45297.16,42731.99,1.0600292661306
"ANTÔNIO JÁCOME",178950,"RN",2015,8,43678.76,42731.99,1.02215600069175
"ANTÔNIO JÁCOME",178950,"RN",2015,9,53270.04,42731.99,1.24660798619489
"ANTÔNIO JÁCOME",178950,"RN",2015,10,46793.87,42731.99,1.09505478214331
"ANTÔNIO JÁCOME",178950,"RN",2015,11,37992.31,42731.99,0.889083564795368
"ANTÔNIO JÁCOME",178950,"RN",2015,12,38748.61,42731.99,0.906782249083181
"ANTÔNIO JÁCOME",178950,"RN",2016,1,39256.55,42731.99,0.918668894193788
"ANTÔNIO JÁCOME",178950,"RN",2016,2,53791.09,42731.99,1.25880142722115
"ANTÔNIO JÁCOME",178950,"RN",2016,3,40261.93,42731.99,0.942196466862414
"ANTÔNIO JÁCOME",178950,"RN",2016,4,51609.43,42731.99,1.20774693619464
"ANTÔNIO JÁCOME",178950,"RN",2016,5,54433.27,42731.99,1.27382951273741
"ANTÔNIO JÁCOME",178950,"RN",2016,6,60746.06,42731.99,1.42155935167073
"ANTÔNIO JÁCOME",178950,"RN",2016,7,36110.16,42731.99,0.845038108452239
"ANTÔNIO JÁCOME",178950,"RN",2016,8,44197.31,42731.99,1.03429093753883
"ANTÔNIO JÁCOME",178950,"RN",2016,9,36825.38,42731.99,0.861775452067643
"ANTÔNIO JÁCOME",178950,"RN",2016,10,22125.23,42731.99,0.51776736819418
"ANTÔNIO JÁCOME",178950,"RN",2016,11,41055.33,42731.99,0.96076335316937
"ANTÔNIO JÁCOME",178950,"RN",2016,12,37390.18,42731.99,0.874992716229691
"ANTÔNIO JÁCOME",178950,"RN",2017,1,30332.33,42731.99,0.709827227798191
"ANTÔNIO JÁCOME",178950,"RN",2017,2,63418.54,42731.99,1.48409985118877
"ANTÔNIO JÁCOME",178950,"RN",2017,3,44871.17,42731.99,1.05006038801376
"ANTÔNIO JÁCOME",178950,"RN",2017,4,36818.46,42731.99,0.861613512499652
"ANTÔNIO JÁCOME",178950,"RN",2017,5,18116.2,42731.99,0.423949364398897
"CAJAR NARDES",194261,"RS",2016,5,10563.3,40875.9,0.258423667735756
"CAJAR NARDES",194261,"RS",2016,6,30316.62,40875.9,0.74167467872267
"CAJAR NARDES",194261,"RS",2016,7,51217.83,40875.9,1.25300800716315
"CAJAR NARDES",194261,"RS",2016,8,44459.03,40875.9,1.08765874268212
"CAJAR NARDES",194261,"RS",2016,9,59239.45,40875.9,1.44925127030842
"CAJAR NARDES",194261,"RS",2016,10,55421.41,40875.9,1.35584562052456
"CAJAR NARDES",194261,"RS",2016,11,45539.68,40875.9,1.11409608106488
"CAJAR NARDES",194261,"RS",2016,12,27758.72,40875.9,0.679097463297444
"CAJAR NARDES",194261,"RS",2017,1,10555.41,40875.9,0.258230644462874
"CAJAR NARDES",194261,"RS",2017,2,50416.52,40875.9,1.23340452442637
"CAJAR NARDES",194261,"RS",2017,3,60587.48,40875.9,1.48222987139121
"CAJAR NARDES",194261,"RS",2017,4,55915.47,40875.9,1.36793244919378
"CAJAR NARDES",194261,"RS",2017,5,12641.13,40875.9,0.309256309952808
"EDIO LOPES",141417,"RR",2015,1,27451.31,45612.53,0.601837039076763
"EDIO LOPES",141417,"RR",2015,2,52932.37,45612.53,1.16047871056484
"EDIO LOPES",141417,"RR",2015,3,44805.79,45612.53,0.982313193326483
"EDIO LOPES",141417,"RR",2015,4,56658.67,45612.53,1.24217336771278
"EDIO LOPES",141417,"RR",2015,5,39032.31,45612.53,0.855736570630921
"EDIO LOPES",141417,"RR",2015,6,32418.28,45612.53,0.710731897572882
"EDIO LOPES",141417,"RR",2015,7,67758.61,45612.53,1.48552623588299
"EDIO LOPES",141417,"RR",2015,8,33525.01,45612.53,0.734995625105645
