"nome","id_dep","anov","mesv","total_deputado","total_mes","coef"
"Abel Mesquita Jr.",178957,2015,2,1,8,0.125
"Abel Mesquita Jr.",178957,2015,3,9,14,0.642857142857143
"Abel Mesquita Jr.",178957,2015,4,9,13,0.692307692307692
"Abel Mesquita Jr.",178957,2015,5,10,19,0.526315789473684
"Abel Mesquita Jr.",178957,2015,6,7,13,0.538461538461538
"Abel Mesquita Jr.",178957,2015,7,4,7,0.571428571428571
"Abel Mesquita Jr.",178957,2015,8,5,13,0.384615384615385
"Abel Mesquita Jr.",178957,2015,9,14,18,0.777777777777778
"Abel Mesquita Jr.",178957,2015,10,7,12,0.583333333333333
"Abel Mesquita Jr.",178957,2015,11,6,12,0.5
"Abel Mesquita Jr.",178957,2015,12,2,2,1
"Abel Mesquita Jr.",178957,2016,2,5,9,0.555555555555556
"Abel Mesquita Jr.",178957,2016,3,8,11,0.727272727272727
"Abel Mesquita Jr.",178957,2016,4,4,7,0.571428571428571
"Abel Mesquita Jr.",178957,2016,5,3,7,0.428571428571429
"Abel Mesquita Jr.",178957,2016,6,5,8,0.625
"Abel Mesquita Jr.",178957,2016,7,3,4,0.75
"Abel Mesquita Jr.",178957,2016,8,3,10,0.3
"Abel Mesquita Jr.",178957,2016,10,7,13,0.538461538461538
"Abel Mesquita Jr.",178957,2016,11,6,8,0.75
"Abel Mesquita Jr.",178957,2016,12,4,8,0.5
"Abel Mesquita Jr.",178957,2017,2,4,4,1
"Abel Mesquita Jr.",178957,2017,3,2,3,0.666666666666667
"Abel Salvador Mesquita Junior",178957,2015,2,4,8,0.5
"Acir Gurgacz",NA,2015,12,1,2,0.5
"Adail Carneiro",178864,2015,2,2,8,0.25
"Adail Carneiro",178864,2015,3,12,14,0.857142857142857
"Adail Carneiro",178864,2015,4,10,13,0.769230769230769
"Adail Carneiro",178864,2015,5,11,19,0.578947368421053
"Adail Carneiro",178864,2015,6,7,13,0.538461538461538
"Adail Carneiro",178864,2015,7,3,7,0.428571428571429
"Adail Carneiro",178864,2015,8,10,13,0.769230769230769
"Adail Carneiro",178864,2015,9,13,18,0.722222222222222
"Adail Carneiro",178864,2015,10,7,12,0.583333333333333
"Adail Carneiro",178864,2015,11,4,12,0.333333333333333
"Adail Carneiro",178864,2016,4,3,7,0.428571428571429
"Adail Carneiro",178864,2016,5,4,7,0.571428571428571
"Adail Carneiro",178864,2016,6,5,8,0.625
"Adail Carneiro",178864,2016,7,3,4,0.75
"Adail Carneiro",178864,2016,8,3,10,0.3
"Adail Carneiro",178864,2016,10,3,13,0.230769230769231
"Adail Carneiro",178864,2016,11,4,8,0.5
"Adail Carneiro",178864,2016,12,5,8,0.625
"Adail Carneiro",178864,2017,2,3,4,0.75
"Adail Carneiro",178864,2017,3,3,3,1
"Adalberto Cavalcanti",178914,2015,2,4,8,0.5
"Adalberto Cavalcanti",178914,2015,5,3,19,0.157894736842105
"Adalberto Cavalcanti",178914,2015,6,6,13,0.461538461538462
"Adalberto Cavalcanti",178914,2015,7,1,7,0.142857142857143
"Adalberto Cavalcanti",178914,2015,8,10,13,0.769230769230769
"Adalberto Cavalcanti",178914,2015,9,11,18,0.611111111111111
"Adalberto Cavalcanti",178914,2015,10,9,12,0.75
"Adalberto Cavalcanti",178914,2015,11,6,12,0.5
"Adalberto Cavalcanti",178914,2015,12,1,2,0.5
"Adalberto Cavalcanti",178914,2016,2,4,9,0.444444444444444
"Adalberto Cavalcanti",178914,2016,3,8,11,0.727272727272727
"Adalberto Cavalcanti",178914,2016,4,3,7,0.428571428571429
"Adalberto Cavalcanti",178914,2016,5,4,7,0.571428571428571
"Adalberto Cavalcanti",178914,2016,6,5,8,0.625
"Adalberto Cavalcanti",178914,2016,7,2,4,0.5
"Adalberto Cavalcanti",178914,2016,8,3,10,0.3
"Adalberto Cavalcanti",178914,2016,10,4,13,0.307692307692308
"Adalberto Cavalcanti",178914,2016,11,4,8,0.5
"Adalberto Cavalcanti",178914,2016,12,3,8,0.375
"Adalberto Cavalcanti",178914,2017,2,4,4,1
"Adalberto Cavalcanti",178914,2017,3,2,3,0.666666666666667
"Adelmo Carneiro Leão",178890,2015,2,4,8,0.5
"Adelmo Carneiro Leão",178890,2015,3,12,14,0.857142857142857
"Adelmo Carneiro Leão",178890,2015,4,10,13,0.769230769230769
"Adelmo Carneiro Leão",178890,2015,5,11,19,0.578947368421053
"Adelmo Carneiro Leão",178890,2015,6,7,13,0.538461538461538
"Adelmo Carneiro Leão",178890,2015,7,4,7,0.571428571428571
"Adelmo Carneiro Leão",178890,2015,8,10,13,0.769230769230769
"Adelmo Carneiro Leão",178890,2015,9,14,18,0.777777777777778
"Adelmo Carneiro Leão",178890,2015,10,10,12,0.833333333333333
"Adelmo Carneiro Leão",178890,2015,11,7,12,0.583333333333333
"Adelmo Carneiro Leão",178890,2015,12,2,2,1
"Adelmo Carneiro Leão",178890,2016,2,6,9,0.666666666666667
"Adelmo Carneiro Leão",178890,2016,3,11,11,1
"Adelmo Carneiro Leão",178890,2016,4,4,7,0.571428571428571
"Adelmo Carneiro Leão",178890,2016,5,5,7,0.714285714285714
"Adelmo Carneiro Leão",178890,2016,6,7,8,0.875
"Adelmo Carneiro Leão",178890,2016,7,3,4,0.75
"Adelmo Carneiro Leão",178890,2016,8,5,10,0.5
"Adelmo Carneiro Leão",178890,2016,10,5,13,0.384615384615385
"Adelmo Carneiro Leão",178890,2016,11,6,8,0.75
"Adelmo Carneiro Leão",178890,2016,12,6,8,0.75
"Adelmo Carneiro Leão",178890,2017,2,4,4,1
"Adelmo Carneiro Leão",178890,2017,3,3,3,1
"Adelson Barreto",178968,2015,2,6,8,0.75
"Adelson Barreto",178968,2015,3,11,14,0.785714285714286
"Adelson Barreto",178968,2015,4,9,13,0.692307692307692
"Adelson Barreto",178968,2015,5,11,19,0.578947368421053
"Adelson Barreto",178968,2015,6,7,13,0.538461538461538
"Adelson Barreto",178968,2015,7,4,7,0.571428571428571
"Adelson Barreto",178968,2015,8,10,13,0.769230769230769
"Adelson Barreto",178968,2015,9,10,18,0.555555555555556
"Adelson Barreto",178968,2015,10,9,12,0.75
"Adelson Barreto",178968,2015,11,7,12,0.583333333333333
"Adelson Barreto",178968,2015,12,2,2,1
"Adelson Barreto",178968,2016,2,6,9,0.666666666666667
"Adelson Barreto",178968,2016,3,9,11,0.818181818181818
"Adelson Barreto",178968,2016,4,3,7,0.428571428571429
"Adelson Barreto",178968,2016,5,5,7,0.714285714285714
"Adelson Barreto",178968,2016,6,6,8,0.75
"Adelson Barreto",178968,2016,7,3,4,0.75
"Adelson Barreto",178968,2016,8,5,10,0.5
"Adelson Barreto",178968,2016,10,6,13,0.461538461538462
"Adelson Barreto",178968,2016,11,5,8,0.625
"Adelson Barreto",178968,2016,12,6,8,0.75
"Adelson Barreto",178968,2017,2,3,4,0.75
"Adelson Barreto",178968,2017,3,3,3,1
"Ademir Camilo",133374,2015,2,5,8,0.625
"Ademir Camilo",133374,2015,3,10,14,0.714285714285714
"Ademir Camilo",133374,2015,4,10,13,0.769230769230769
"Ademir Camilo",133374,2015,5,11,19,0.578947368421053
"Ademir Camilo",133374,2015,6,7,13,0.538461538461538
"Ademir Camilo",133374,2015,7,4,7,0.571428571428571
"Ademir Camilo",133374,2015,8,10,13,0.769230769230769
"Ademir Camilo",133374,2015,9,13,18,0.722222222222222
"Ademir Camilo",133374,2015,10,10,12,0.833333333333333
"Ademir Camilo",133374,2015,11,7,12,0.583333333333333
"Ademir Camilo",133374,2015,12,2,2,1
"Ademir Camilo",133374,2016,2,6,9,0.666666666666667
"Ademir Camilo",133374,2016,3,10,11,0.909090909090909
"Ademir Camilo",133374,2016,4,4,7,0.571428571428571
"Ademir Camilo",133374,2016,5,5,7,0.714285714285714
"Ademir Camilo",133374,2016,6,6,8,0.75
"Ademir Camilo",133374,2016,7,2,4,0.5
"Ademir Camilo",133374,2016,8,4,10,0.4
"Ademir Camilo",133374,2016,10,6,13,0.461538461538462
"Ademir Camilo",133374,2016,11,6,8,0.75
"Ademir Camilo",133374,2016,12,6,8,0.75
"Ademir Camilo",133374,2017,2,4,4,1
"Ademir Camilo",133374,2017,3,3,3,1
"Adérmis Marini",196359,2017,2,4,4,1
"Adérmis Marini",196359,2017,3,3,3,1
"Adilton Sachetti",178903,2015,2,6,8,0.75
"Adilton Sachetti",178903,2015,3,10,14,0.714285714285714
"Adilton Sachetti",178903,2015,4,10,13,0.769230769230769
"Adilton Sachetti",178903,2015,5,11,19,0.578947368421053
"Adilton Sachetti",178903,2015,6,6,13,0.461538461538462
"Adilton Sachetti",178903,2015,7,3,7,0.428571428571429
"Adilton Sachetti",178903,2015,8,10,13,0.769230769230769
"Adilton Sachetti",178903,2015,9,8,18,0.444444444444444
"Adilton Sachetti",178903,2015,10,9,12,0.75
"Adilton Sachetti",178903,2015,11,5,12,0.416666666666667
"Adilton Sachetti",178903,2015,12,1,2,0.5
"Adilton Sachetti",178903,2016,2,5,9,0.555555555555556
"Adilton Sachetti",178903,2016,3,4,11,0.363636363636364
"Adilton Sachetti",178903,2016,4,3,7,0.428571428571429
"Adilton Sachetti",178903,2016,5,5,7,0.714285714285714
"Adilton Sachetti",178903,2016,6,6,8,0.75
"Adilton Sachetti",178903,2016,8,5,10,0.5
"Adilton Sachetti",178903,2016,10,7,13,0.538461538461538
"Adilton Sachetti",178903,2016,11,6,8,0.75
"Adilton Sachetti",178903,2016,12,6,8,0.75
"Adilton Sachetti",178903,2017,3,3,3,1
"Aécio Neves",NA,2015,12,1,2,0.5
"Aelton Freitas",141372,2015,2,4,8,0.5
"Aelton Freitas",141372,2015,3,6,14,0.428571428571429
"Aelton Freitas",141372,2015,4,7,13,0.538461538461538
"Aelton Freitas",141372,2015,5,11,19,0.578947368421053
"Aelton Freitas",141372,2015,6,7,13,0.538461538461538
"Aelton Freitas",141372,2015,7,2,7,0.285714285714286
"Aelton Freitas",141372,2015,8,10,13,0.769230769230769
"Aelton Freitas",141372,2015,9,13,18,0.722222222222222
"Aelton Freitas",141372,2015,10,10,12,0.833333333333333
"Aelton Freitas",141372,2015,11,7,12,0.583333333333333
"Aelton Freitas",141372,2015,12,2,2,1
"Aelton Freitas",141372,2016,2,6,9,0.666666666666667
"Aelton Freitas",141372,2016,3,9,11,0.818181818181818
"Aelton Freitas",141372,2016,4,3,7,0.428571428571429
"Aelton Freitas",141372,2016,5,4,7,0.571428571428571
"Aelton Freitas",141372,2016,6,5,8,0.625
"Aelton Freitas",141372,2016,7,3,4,0.75
"Aelton Freitas",141372,2016,8,4,10,0.4
"Aelton Freitas",141372,2016,10,5,13,0.384615384615385
"Aelton Freitas",141372,2016,11,6,8,0.75
"Aelton Freitas",141372,2016,12,3,8,0.375
"Aelton Freitas",141372,2017,2,2,4,0.5
"Aelton Freitas",141372,2017,3,2,3,0.666666666666667
"Afonso Florence",160508,2015,2,4,8,0.5
"Afonso Florence",160508,2015,3,10,14,0.714285714285714
"Afonso Florence",160508,2015,4,9,13,0.692307692307692
"Afonso Florence",160508,2015,5,11,19,0.578947368421053
"Afonso Florence",160508,2015,6,7,13,0.538461538461538
"Afonso Florence",160508,2015,7,4,7,0.571428571428571
"Afonso Florence",160508,2015,8,9,13,0.692307692307692
"Afonso Florence",160508,2015,9,14,18,0.777777777777778
"Afonso Florence",160508,2015,10,8,12,0.666666666666667
"Afonso Florence",160508,2015,11,7,12,0.583333333333333
"Afonso Florence",160508,2015,12,2,2,1
"Afonso Florence",160508,2016,2,6,9,0.666666666666667
"Afonso Florence",160508,2016,3,8,11,0.727272727272727
"Afonso Florence",160508,2016,4,3,7,0.428571428571429
"Afonso Florence",160508,2016,5,3,7,0.428571428571429
