"txNomeParlamentar","idecadastro","sgUF","ano","mes","total","cota_mensal","coef"
"ARNALDO FARIA DE SÁ",73434,"SP",2016,12,207657.1,37043.53,5.6057589543977
"ARLINDO CHINAGLIA",73433,"SP",2016,12,207333.35,37043.53,5.59701923655764
"ARNALDO FARIA DE SÁ",73434,"SP",2015,12,205573.41,37043.53,5.54950918554468
"ARLINDO CHINAGLIA",73433,"SP",2016,1,202921.48,37043.53,5.47791962591038
"PASTOR EURICO",160642,"PE",2015,12,224943.02,41676.8,5.39731985181204
"LUCIO VIEIRA LIMA",94931,"BA",2015,12,198929.46,39010.85,5.0993367229886
"CARLOS HENRIQUE GAGUIM",178993,"TO",2015,12,185957.36,39503.61,4.70735104968888
"FERNANDO TORRES",160676,"BA",2015,12,182470.34,39010.85,4.67742538293834
"JOÃO CARLOS BACELAR",141458,"BA",2015,12,174425.22,39010.85,4.47119762835211
"WELLINGTON ROBERTO",74043,"PB",2016,2,179000,42032.56,4.25860333037055
