congressperson_name,civil_name,congressperson_id,state,twitter_profile,secondary_twitter_profile,facebook_page
ALAN RICK,ALAN RICK MIRANDA,178836,AC,Alan_Rick,,https://www.facebook.com/deputadoalanrick/?ref=br_rs
ANGELIM,RAIMUNDO ANGELIM VASCONCELOS,178837,AC,RaimundoAngelim,,https://www.facebook.com/angelim.acre/
ANTÔNIA LÚCIA,,123756,AC,antonialuciapsc,antonialucia_,https://www.facebook.com/antonialuciapr/?ref=br_rs
CÉSAR MESSIAS,CARLOS CESAR CORREIA DE MESSIAS,178838,AC,CesarMessias_Ac,,https://www.facebook.com/cesarmessiaspsb/
FLAVIANO MELO,FLAVIANO FLÁVIO BAPTISTA DE MELO,141434,AC,flaviano_melo,,https://www.facebook.com/flavianomelo15/?ref=br_rs
HENRIQUE AFONSO,,73940,AC,henrique_afonso,,https://www.facebook.com/Deputado-Federal-Henrique-Afonso-496929907011085/
JÉSSICA SALES,JESSICA ROJAS SALES,178839,AC,NAO ENCONTRADO,,https://www.facebook.com/pg/dep.jessicasales
LEO DE BRITO,LEONARDO CUNHA DE BRITO,178825,AC,LeoDoPT,,https://www.facebook.com/leodopt1331/
MOISÉS DINIZ,MOISES DINIZ LIMA,195278,AC,moisesdiniz10,,https://www.facebook.com/people/Moisés-Diniz-Lima/100009338080803
ROCHA,WHERLES FERNANDES DA ROCHA,178840,AC,MajorRocha45,,https://www.facebook.com/MajorRocha45/
SIBÁ MACHADO,,160613,AC,sibamachado13,,https://www.facebook.com/sibamachado1313/?ref=br_rs
TAUMATURGO LIMA,,160679,AC,Taumaturgo_Lima,,https://www.facebook.com/taumaturgolima/?ref=br_rs
ARTHUR LIRA,ARTHUR CÉSAR PEREIRA DE LIRA,160541,AL,DEPArthurLira,,https://www.facebook.com/arthurliradeputadofederal/?ref=br_rs
CÍCERO ALMEIDA,JOSÉ CÍCERO SOARES DE ALMEIDA,178841,AL,Cicero2800,,https://www.facebook.com/cicero15prefeito/
GIVALDO CARIMBÃO,GIVALDO DE SÁ GOUVEIA,74558,AL,givaldocarimbao,,https://www.facebook.com/carimbao
JHC,JOAO HENRIQUE HOLANDA  CALDAS,178842,AL,JHC_40,,https://www.facebook.com/jhc/
JOÃO LYRA,,74049,AL,Joao_Lyra,,https://www.facebook.com/joaolyra.al
MAURÍCIO QUINTELLA LESSA,,74050,AL,Depquintella,,https://www.facebook.com/mauricioquintella.lessa
NIVALDO ALBUQUERQUE,NIVALDO FERREIRA DE ALBUQUERQUE NETO,194260,AL,NivaldoAlbuque,,https://www.facebook.com/deputadonivaldoalbuquerque/
PAULÃO,PAULO FERNANDO DOS SANTOS,171617,AL,paulaodopt,,https://www.facebook.com/paulaodopt
PEDRO VILELA,PEDRO TORRES BRANDÃO VILELA,178844,AL,vilelapedro,,https://www.facebook.com/pedrovilela.al/
RENAN FILHO,,160623,AL,RenanFilho_,,https://www.facebook.com/RenanFilhoAL/
RONALDO LESSA,RONALDO AUGUSTO LESSA SANTOS,178845,AL,RonaldoLessaPDT,,https://www.facebook.com/Ronaldo-Lessa-139755579370881/
ROSINHA DA ADEFAL,ROSEANE CAVALCANTE DE FREITAS ESTRELA,146949,AL,rosinhadaadefal,,https://www.facebook.com/rosinhadaadefal2
RUI PALMEIRA,,76420,AL,ruipalmeira,,https://www.facebook.com/RuiSoaresPalmeira/
ALFREDO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,178846,AM,senadoralfredo,,https://www.facebook.com/AlfredoNascimentoOficial
ARTHUR VIRGÍLIO BISNETO,ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,178847,AM,Arthurbisneto,,https://www.facebook.com/arthurvirgiliobisneto
CARLOS SOUZA,,73934,AM,CarlosSouza1111,,https://www.facebook.com/carlos.souza.9212
CONCEIÇÃO SAMPAIO,MARIA DA CONCEICAO SAMPAIO MOURA,178848,AM,dep_CSampaio ‏,,https://www.facebook.com/deputadaconceicaosampaio
HISSA ABRAHÃO,HISSA NAGIB ABRAHAO FILHO,178849,AM,Hissa_Abrahao ‏,,https://www.facebook.com/hissa.abrahao/
PAUDERNEY AVELINO,PAUDERNEY TOMAZ AVELINO,74095,AM,pauderney,,https://www.facebook.com/pauderneytomazavelino/
SABINO CASTELO BRANCO,RAIMUNDO SABINO CASTELO BRANCO MAUÉS,141522,AM,depsabinocb,,https://www.facebook.com/dep.sabino2
SILAS CÂMARA,SILAS CÂMARA,74356,AM,SilasCamaraAM ‏,,https://www.facebook.com/DepSilas/
ÁTILA LINS,ÁTILA SIDNEY LINS ALBUQUERQUE,74090,AM,NAO ENCONTRADO,,https://pt-br.facebook.com/Deputado-%C3%81tila-Lins-329607960409077/
ANDRÉ ABDON,ANDRE DOS SANTOS ABDON,178831,AP,dep_andreabdon ‏,,https://www.facebook.com/depandreabdon/
CABUÇU BORGES,LUIZ GIONILSON PINHEIRO BORGES,105112,AP,depcabucu ‏,,https://www.facebook.com/depcabucu/
DALVA FIGUEIREDO,,141502,AP,DalvaFigueiredo,,https://www.facebook.com/DeputadaDalvaFigueiredo
EVANDRO MILHOMEN,,74345,AP,DepMilhomen,,https://www.facebook.com/DeputadoMilhomen/
JANETE CAPIBERIBE,JANETE MARIA GÓES CAPIBERIBE,73926,AP,Janete4040,,https://www.facebook.com/JaneteCapiberibeOficial/
JOZI ARAÚJO,JOZIANE ARAUJO NASCIMENTO,178851,AP,Deputada_Jozi ‏,,https://www.facebook.com/joziaraujo.ap/
LUIZ CARLOS,,160645,AP,depluizcarlos,,https://www.facebook.com/deputadoheinze/
MARCOS REATEGUI,MARCOS JOSE REATEGUI SOUZA,178852,AP,marcos_reategui ‏,,https://www.facebook.com/DepMarcosReategui/
PROFESSORA MARCIVANIA,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,160641,AP,marcivania65,,https://www.facebook.com/professoramarcivania65/
