"mesv","anov","id_dep","total_deputado"
2,2015,4930,6
3,2015,4930,10
4,2015,4930,9
5,2015,4930,10
6,2015,4930,5
7,2015,4930,4
8,2015,4930,10
9,2015,4930,12
10,2015,4930,10
11,2015,4930,7
12,2015,4930,2
2,2016,4930,3
3,2016,4930,7
4,2016,4930,4
5,2016,4930,4
6,2016,4930,4
7,2016,4930,2
8,2016,4930,4
10,2016,4930,6
11,2016,4930,6
12,2016,4930,4
2,2017,4930,3
3,2017,4930,2
2,2015,4931,5
3,2015,4931,11
4,2015,4931,9
5,2015,4931,10
6,2015,4931,7
7,2015,4931,4
8,2015,4931,9
9,2015,4931,13
10,2015,4931,7
11,2015,4931,7
12,2015,4931,1
2,2016,4931,5
3,2016,4931,10
4,2016,4931,4
5,2016,4931,5
6,2016,4931,5
7,2016,4931,3
8,2016,4931,5
10,2016,4931,5
11,2016,4931,6
12,2016,4931,4
2,2017,4931,3
3,2017,4931,3
2,2015,62881,4
3,2015,62881,11
4,2015,62881,9
5,2015,62881,11
6,2015,62881,7
7,2015,62881,4
8,2015,62881,9
9,2015,62881,9
10,2015,62881,5
11,2015,62881,6
12,2015,62881,2
2,2016,62881,6
3,2016,62881,10
4,2016,62881,3
5,2016,62881,5
6,2016,62881,3
7,2016,62881,3
8,2016,62881,4
10,2016,62881,5
11,2016,62881,4
12,2016,62881,5
2,2017,62881,3
3,2017,62881,1
2,2015,64960,6
3,2015,64960,6
4,2015,64960,9
5,2015,64960,10
6,2015,64960,7
7,2015,64960,4
8,2015,64960,6
9,2015,64960,14
10,2015,64960,8
11,2015,64960,4
12,2015,64960,2
2,2016,64960,6
3,2016,64960,7
4,2016,64960,3
5,2016,64960,5
6,2016,64960,7
7,2016,64960,3
8,2016,64960,4
10,2016,64960,4
11,2016,64960,4
12,2016,64960,5
2,2017,64960,4
3,2017,64960,3
2,2017,66179,4
3,2017,66179,1
2,2015,66828,3
3,2015,66828,12
4,2015,66828,10
5,2015,66828,11
6,2015,66828,7
7,2015,66828,4
8,2015,66828,9
9,2015,66828,12
10,2015,66828,7
11,2015,66828,6
12,2015,66828,1
2,2016,66828,5
3,2016,66828,8
4,2016,66828,4
5,2016,66828,5
6,2016,66828,7
7,2016,66828,3
8,2016,66828,5
